,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,Magrath,49.4167,-112.8686,73.87,68,66,8.05,CA,1628127738
271,Kamiiso,41.8167,140.65,82.78,83,75,8.05,JP,1628127738
272,Katsuura,35.1333,140.3,87.91,69,1,9.69,JP,1628127553
273,Kyabé,9.4515,18.9449,71.96,93,95,3.33,TD,1628127739
274,Puro,12.4841,123.3827,86.63,66,74,15.05,PH,1628127739
275,Riyadh,24.6877,46.7219,86.14,12,4,9.17,SA,1628127647
276,Eldorado,-23.7869,-54.2836,57.67,50,100,4.65,BR,1628127502
277,Vila Franca do Campo,37.7167,-25.4333,72.01,90,15,5.39,PT,1628127546
278,Te Anau,-45.4167,167.7167,46.63,70,100,1.34,NZ,1628127554
279,Mahibadhoo,3.7833,72.9667,81.7,77,26,6.58,MV,1628127740
280,Provideniya,64.3833,-173.3,60.91,67,75,13.42,RU,1628127520
281,Tamandaré,-8.7597,-35.1047,71.89,91,57,9.66,BR,1628127740
282,College,64.8569,-147.8028,82.58,40,40,6.91,US,1628127322
283,Ifanadiana,-21.3,47.6333,58.05,98,99,1.1,MG,1628127740
284,Sambava,-14.2667,50.1667,65.79,83,5,8.77,MG,1628127633
285,Eha Amufu,6.6592,7.7596,79.21,97,100,3.6,NG,1628127741
286,Thaton,16.9206,97.3714,78.82,89,98,4.21,MM,1628127741
287,Leshukonskoye,64.8989,45.7622,50.31,75,96,8.05,RU,1628127604
288,San Francisco,37.7749,-122.4194,79.99,80,75,7.0,US,1628127542
289,Esperance,-33.8667,121.9,53.44,73,0,7.36,AU,1628127467
290,Puerto Carreño,6.189,-67.4859,72.73,92,100,5.17,CO,1628127741
291,Pangody,65.85,74.4859,64.58,70,5,5.3,RU,1628127742
292,Eureka,40.8021,-124.1637,64.13,81,65,3.0,US,1628127742
293,Vila Velha,-20.3297,-40.2925,67.95,83,40,12.66,BR,1628127553
294,Bang Saphan,11.2126,99.5117,84.94,69,99,10.33,TH,1628127742
295,Boende,-0.2167,20.8667,72.95,69,12,1.25,CD,1628127743
296,Mount Isa,-20.7333,139.5,64.17,25,18,18.41,AU,1628127743
297,Portland,45.5234,-122.6762,97.38,34,40,3.0,US,1628126971
298,Ukiah,39.1502,-123.2078,93.09,16,1,5.88,US,1628127743
299,Bunia,1.5667,30.25,61.66,89,20,0.94,CD,1628127744
300,Northam,51.0333,-4.2167,62.02,92,59,12.3,GB,1628127551
301,Dali,25.7,100.1833,72.84,65,3,0.72,CN,1628127640
302,Lompoc,34.6391,-120.4579,81.57,77,20,13.8,US,1628127367
303,Antalaha,-14.9003,50.2788,66.15,86,39,6.11,MG,1628127562
304,Saldanha,-33.0117,17.9442,46.45,93,25,5.77,ZA,1628127515
305,Khatanga,71.9667,102.5,72.75,32,72,14.58,RU,1628127524
306,Olafsvik,64.8945,-23.7142,54.25,84,95,2.89,IS,1628127744
307,Shakawe,-18.3667,21.85,53.04,40,0,5.48,BW,1628127616
308,Guerrero Negro,27.9769,-114.0611,73.15,76,6,15.7,MX,1628127564
309,Marsh Harbour,26.5412,-77.0636,82.6,69,100,2.42,BS,1628127745
310,Patti,31.2808,74.8572,84.27,73,5,6.04,IN,1628127745
311,Abhā,18.2164,42.5053,64.22,94,78,0.0,SA,1628127745
312,Lahat,-3.8,103.5333,76.46,89,99,0.74,ID,1628127746
313,Yartsevo,55.0667,32.6964,54.34,82,100,4.74,RU,1628127746
314,Yarega,63.4354,53.5765,57.94,79,100,4.81,RU,1628127746
315,Tomatlán,19.9333,-105.25,78.26,92,100,0.92,MX,1628127747
316,Basco,20.4487,121.9702,83.7,84,98,34.18,PH,1628127747
317,Nantucket,41.2835,-70.0995,67.03,96,100,25.43,US,1628127747
318,Bayeux,-7.125,-34.9322,70.43,94,75,8.05,BR,1628127748
319,Bagan,54.1001,77.6646,63.73,77,45,8.3,RU,1628127748
320,Ambilobe,-13.2,49.05,62.02,85,5,4.03,MG,1628127619
321,Jūybār,36.6412,52.9124,73.56,53,64,3.62,IR,1628127748
322,Metro,-5.1131,105.3067,82.85,70,93,4.65,ID,1628127749
323,Burgeo,47.6167,-57.6152,57.42,77,100,6.29,CA,1628127749
324,Bethel,41.3712,-73.414,68.72,86,100,3.58,US,1628127511
325,Piła,53.1515,16.7378,53.58,87,80,5.53,PL,1628127749
326,San Borja,-14.8167,-66.85,68.7,52,66,3.78,BO,1628127750
327,Kununurra,-15.7667,128.7333,75.18,19,99,16.11,AU,1628127539
328,Venice,27.0998,-82.4543,82.98,84,40,11.5,US,1628127512
329,Mâncio Lima,-7.6142,-72.8958,70.59,59,4,1.77,BR,1628127750
330,Vitim,59.4511,112.5578,66.51,71,92,4.05,RU,1628127750
331,Sivas Province,39.7916,37.0019,56.03,100,0,6.91,TR,1628127751
332,Ayan,56.45,138.1667,56.73,88,87,4.72,RU,1628127751
333,Akusha,42.2688,47.3411,64.38,63,8,5.79,RU,1628127751
334,Kirakira,-10.4544,161.9205,82.65,64,57,5.35,SB,1628127752
335,Souillac,-20.5167,57.5167,68.38,64,40,12.66,MU,1628127526
336,Berekum,7.4534,-2.584,70.21,97,94,6.96,GH,1628127752
337,Noumea,-22.2763,166.4572,78.01,99,23,15.73,NC,1628127752
338,Nishifukuma,33.7667,130.4667,91.4,59,11,3.31,JP,1628127753
339,San Cristobal,7.7669,-72.225,75.38,97,96,4.12,VE,1628127753
340,Mehamn,71.0357,27.8492,47.05,92,100,16.33,NO,1628127501
341,Henties Bay,-22.116,14.2845,55.85,83,12,5.91,NA,1628127711
342,Grindavik,63.8424,-22.4338,55.35,100,75,3.44,IS,1628127535
343,Kavaratti,10.5669,72.642,82.2,79,100,19.73,IN,1628127548
344,Praia,14.9215,-23.5087,78.22,89,100,4.29,CV,1628127754
345,Muriaé,-21.1306,-42.3664,62.42,87,73,3.58,BR,1628127754
346,Lata,40.1629,-8.3327,65.05,98,16,1.41,PT,1628127552
347,Beringovskiy,63.05,179.3167,48.58,93,100,28.99,RU,1628127754
348,Ossora,59.2353,163.0719,52.75,59,91,16.26,RU,1628127755
349,Constitución,-35.3333,-72.4167,52.63,84,100,10.92,CL,1628127536
350,Novomykolayivka,47.9781,35.9102,68.25,56,57,4.74,UA,1628127755
351,Baruun-Urt,46.6806,113.2792,62.29,68,99,5.53,MN,1628127755
352,Kharp,66.8014,65.8081,65.7,71,88,5.46,RU,1628127756
353,Castro,-24.7911,-50.0119,46.36,97,65,5.99,BR,1628127499
354,Benguela,-12.5763,13.4055,68.72,89,10,0.98,AO,1628127657
355,Umm Kaddadah,13.6017,26.6876,78.73,64,85,5.61,SD,1628127571
356,Ji’an,27.1172,114.9793,84.29,79,100,6.46,CN,1628127756
357,Teleneşti,47.4997,28.3656,66.67,91,43,1.95,MD,1628127756
358,Saurimo,-9.6608,20.3916,59.45,29,0,5.68,AO,1628127659
359,Ko Samui,9.5357,99.9357,85.91,70,20,8.05,TH,1628127595
360,Rawson,-43.3002,-65.1023,62.98,33,8,33.89,AR,1628127540
361,Bilma,18.6853,12.9164,91.74,31,2,6.02,NE,1628127518
362,Swellendam,-34.0226,20.4417,55.78,92,99,1.7,ZA,1628127757
363,Chara,56.9064,118.2631,66.67,58,86,2.26,RU,1628127757
364,Sajanan,37.0573,9.2426,76.12,84,80,7.96,TN,1628127758
365,Hualmay,-11.0964,-77.6139,64.51,84,90,8.14,PE,1628127598
366,Batemans Bay,-35.7167,150.1833,65.1,39,63,7.56,AU,1628127758
367,Luanda,-8.8368,13.2343,68.76,91,18,6.15,AO,1628127562
368,Port Hedland,-20.3167,118.5667,69.85,30,40,23.02,AU,1628127758
369,Oussouye,12.485,-16.5469,79.18,86,100,8.46,SN,1628127759
370,Nyurba,63.2842,118.3319,79.2,34,6,7.74,RU,1628127574
371,Oktyabr'skiy,54.4815,53.471,64.36,92,100,3.96,RU,1628127759
372,Coahuayana Viejo,18.7333,-103.6833,81.88,85,100,0.74,MX,1628127582
373,Almaznyy,48.0448,40.045,62.74,52,100,5.35,RU,1628127587
374,Lumberton,34.6182,-79.0086,74.08,90,100,3.53,US,1628127760
375,Pangnirtung,66.1451,-65.7125,42.28,98,100,3.09,CA,1628127560
376,Yoichi,43.2039,140.7703,91.62,67,87,4.56,JP,1628127760
377,Almansa,38.8692,-1.0971,69.66,62,2,0.45,ES,1628127760
378,Shimoda,34.6667,138.95,86.11,65,2,9.95,JP,1628127761
379,Khanbari,27.3747,87.2039,73.94,78,100,2.28,NP,1628127761
380,Yei,4.095,30.6779,64.98,96,40,1.48,SS,1628127761
381,Shanghai,31.2222,121.4581,88.93,68,75,3.0,CN,1628127204
382,Beruwala,6.4788,79.9828,79.48,85,100,11.9,LK,1628127762
383,Uniontown,39.9001,-79.7164,70.14,75,93,3.4,US,1628127679
384,Don Luan,11.5333,106.9167,80.8,88,100,8.25,VN,1628127511
385,Foz,43.5692,-7.2544,66.42,91,52,6.29,ES,1628127762
386,Tautira,-17.7333,-149.15,82.0,75,9,13.82,PF,1628127545
387,Santa Isabel,-23.3156,-46.2214,57.65,95,34,2.68,BR,1628127762
388,Yuancheng,36.652,107.7896,81.07,22,80,1.05,CN,1628127763
389,Zhangye,38.9342,100.4517,80.71,20,3,5.41,CN,1628127763
390,Poyarkovo,49.6,128.6833,75.06,83,100,8.3,RU,1628127763
391,Mimongo,-1.6195,11.6068,66.36,98,73,2.33,GA,1628127764
392,Amahai,-3.3333,128.9167,81.93,74,56,3.71,ID,1628127567
393,Kruisfontein,-34.0033,24.7314,56.88,96,98,5.23,ZA,1628127546
394,Lesozavodsk,45.4794,133.4244,91.24,42,37,10.96,RU,1628127764
395,Hithadhoo,-0.6,73.0833,81.55,76,100,8.19,MV,1628127492
396,Ankpa,7.3706,7.6253,70.41,98,100,5.39,NG,1628127764
397,Rāvar,31.2656,56.8055,79.59,18,36,2.21,IR,1628127765
398,Gamba,-2.65,10.0,74.79,78,100,6.51,GA,1628127765
399,Pyaozerskiy,65.8333,31.1667,46.56,88,100,5.46,RU,1628127512
400,Torbay,47.6666,-52.7314,64.67,73,40,17.27,CA,1628127330
401,Provincia di Imperia,43.9667,7.7833,62.98,81,1,4.94,IT,1628127765
402,Salalah,17.0151,54.0924,78.89,94,75,5.75,OM,1628127766
403,Burlington,39.8835,-74.6413,71.31,81,90,5.75,US,1628127766
404,Ilulissat,69.2167,-51.1,50.02,76,26,0.0,GL,1628127512
405,Melfi,40.9965,15.6514,84.22,42,56,11.39,IT,1628127623
406,Camabatela,-8.1881,15.375,59.7,79,0,2.15,AO,1628127766
407,Aseri,59.4506,26.8675,57.25,60,70,4.25,EE,1628127767
408,Beeville,28.4008,-97.7483,87.35,89,1,4.61,US,1628127620
409,Elizabeth City,36.2946,-76.2511,73.42,90,90,12.66,US,1628127767
410,Neepawa,50.2289,-99.4664,75.81,64,12,15.03,CA,1628127767
411,Lubango,-14.9172,13.4925,57.24,38,4,5.06,AO,1628127767
412,Huarmey,-10.0681,-78.1522,65.05,87,6,6.78,PE,1628127616
413,Sur,22.5667,59.5289,89.08,64,100,6.02,OM,1628127768
414,Cassilândia,-19.1133,-51.7342,62.74,36,100,2.77,BR,1628127493
415,Meulaboh,4.1363,96.1285,78.42,80,100,3.13,ID,1628127768
416,Mbandaka,0.0487,18.2603,71.73,59,21,2.55,CD,1628127769
417,Kargasok,59.0556,80.8572,64.9,75,98,9.84,RU,1628127769
418,Methóni,36.8197,21.7049,87.22,51,0,13.91,GR,1628127769
419,Soro,21.2881,86.6858,81.57,79,100,5.5,IN,1628127770
420,Alta,69.9689,23.2717,49.24,84,99,7.11,NO,1628127770
421,Sokoto,13.0609,5.239,79.9,71,81,10.31,NG,1628127770
422,Río Gallegos,-51.6226,-69.2181,51.85,35,0,11.5,AR,1628127590
423,Grand Gaube,-20.0064,57.6608,68.4,65,75,21.54,MU,1628127569
424,Chumikan,54.7183,135.315,52.29,98,100,10.25,RU,1628127621
425,Mayo,38.8876,-76.5119,74.25,78,1,1.99,US,1628127595
426,Lorengau,-2.0226,147.2712,85.8,62,14,3.78,PG,1628127524
427,Tual,-5.6667,132.75,80.71,79,99,21.92,ID,1628127771
428,Sibay,52.7181,58.6658,70.36,57,49,4.94,RU,1628127771
429,Kavieng,-2.5744,150.7967,83.68,71,23,4.94,PG,1628127535
430,Naryan-Mar,67.6713,53.087,57.99,76,51,8.5,RU,1628127771
431,Wanning,18.8003,110.3967,85.91,71,100,8.63,CN,1628127584
432,Ondangwa,-17.9167,15.95,53.6,47,0,1.14,NA,1628127772
433,Ürümqi,43.801,87.6005,79.75,30,0,13.42,CN,1628127772
434,Muros,42.7762,-9.0603,64.9,93,18,5.73,ES,1628127564
435,Luganville,-15.5333,167.1667,79.45,67,97,8.21,VU,1628127772
436,San Juan,-31.5375,-68.5364,61.25,31,0,7.02,AR,1628127639
437,Kutum,14.2,24.6667,74.08,68,100,7.67,SD,1628127530
438,Mendoza,-32.8908,-68.8272,53.13,43,0,5.75,AR,1628127561
439,Elk Point,42.6833,-96.6836,76.24,70,100,7.54,US,1628127773
440,Santiago de Cao,-7.9589,-79.2392,64.53,88,20,6.91,PE,1628127773
441,Fare,-16.7,-151.0167,79.52,71,14,13.89,PF,1628127773
442,Rehoboth,-23.3167,17.0833,52.66,44,3,7.29,NA,1628127774
443,Ambulu,-8.345,113.6058,82.18,69,72,2.21,ID,1628127527
444,Sioux Lookout,50.1001,-91.917,77.07,53,90,5.75,CA,1628127611
445,Kagay,6.0088,120.9074,86.22,69,49,8.3,PH,1628127774
446,Tapes,-30.6733,-51.3958,58.06,95,100,8.93,BR,1628127774
447,Gramado,-29.3786,-50.8739,52.66,90,100,1.99,BR,1628127745
448,Kaeo,-35.1,173.7833,58.32,92,100,10.42,NZ,1628127775
449,Otradnoye,59.7775,30.8181,53.96,77,29,2.77,RU,1628127775
450,Khasan,42.4308,130.6434,80.6,69,91,2.42,RU,1628127775
451,Prieska,-29.6641,22.7474,54.54,52,35,3.94,ZA,1628127775
452,Sibi,29.5448,67.8764,95.49,38,5,7.58,PK,1628127496
453,Prince Rupert,54.3161,-130.3201,60.89,94,90,13.8,CA,1628127566
454,Ulaangom,49.9811,92.0667,73.18,44,19,3.42,MN,1628127776
455,Omboué,-1.5746,9.2618,76.1,77,100,8.84,GA,1628127776
456,Ghanzi,-21.5667,21.7833,54.75,38,0,9.51,BW,1628127572
457,Shar,49.5886,81.0453,71.04,50,82,7.56,KZ,1628127777
458,Nueva Gerona,21.8833,-82.8,83.08,72,98,6.85,CU,1628127777
459,Thinadhoo,0.5333,72.9333,81.21,73,91,4.0,MV,1628127629
460,Ozernovskiy,51.5,156.5167,53.85,74,100,12.39,RU,1628127777
461,Bintulu,3.1667,113.0333,73.81,94,75,17.27,MY,1628127509
462,Colombia,20.9881,-77.4297,74.12,90,31,3.22,CU,1628127778
463,Stavyshche,50.4,29.5333,66.02,94,76,4.56,UA,1628127778
464,Riberalta,-10.9833,-66.1,73.11,45,3,3.02,BO,1628127778
465,Lodwar,3.1191,35.5973,78.3,51,11,13.11,KE,1628127778
466,Ledyard Center,41.4398,-72.0142,68.11,85,90,1.99,US,1628127779
467,Kilmallock,52.4,-8.5772,58.15,92,100,11.01,IE,1628127779
468,Beyneu,45.3167,55.2,88.83,20,3,8.43,KZ,1628127513
469,Wawa,9.9022,4.4192,72.64,94,100,7.52,NG,1628127779
470,De-Kastri,51.4667,140.7833,58.12,94,100,2.84,RU,1628127780
471,Katherine,-14.4667,132.2667,73.72,18,15,17.27,AU,1628127780
472,Orotukan,62.2667,151.7,39.33,90,100,7.61,RU,1628127780
473,Shenjiamen,29.9576,122.298,81.43,86,88,13.24,CN,1628127781
474,Puerto Escondido,15.85,-97.0667,83.23,69,75,0.0,MX,1628127570
475,Bella Union,-30.2752,-57.6007,51.93,91,98,7.31,UY,1628127781
476,Poceirão,38.831,-8.7937,67.24,94,2,6.73,PT,1628127782
477,Conceição do Araguaia,-8.2578,-49.2647,78.93,44,0,4.56,BR,1628127782
478,Umluj,25.0213,37.2685,89.11,56,10,5.68,SA,1628127782
479,Margate,51.3813,1.3862,58.69,90,15,6.11,GB,1628127630
480,Felipe Carrillo Puerto,19.5833,-88.05,78.66,83,0,5.46,MX,1628127783
481,Kloulklubed,7.0419,134.2556,86.5,69,57,6.49,PW,1628127548
482,Longhua,23.6137,114.1919,84.24,84,100,2.66,CN,1628127783
483,Bagdarin,54.4333,113.6,68.7,53,7,0.49,RU,1628127778
484,‘Ewa Beach,21.3156,-158.0072,87.75,57,40,14.97,US,1628127784
485,Santa Inês,-3.6667,-45.38,74.19,62,100,4.52,BR,1628127784
486,Dārāb,28.7519,54.5444,85.1,33,6,7.05,IR,1628127784
487,Agadez,19.75,10.25,87.28,31,10,7.78,NE,1628127784
488,Caldwell,43.6629,-116.6874,100.47,30,1,4.61,US,1628127785
489,Zhumadian,32.9794,114.0294,86.56,73,33,6.87,CN,1628127785
490,Clarence Town,-32.5833,151.7833,68.81,42,1,11.36,AU,1628127785
491,Tynda,55.1667,124.7167,56.91,96,100,5.37,RU,1628127786
492,Taungdwingyi,20.0167,95.55,77.47,90,94,12.84,MM,1628127786
493,Pozo Colorado,-23.4923,-58.7972,62.26,44,100,5.41,PY,1628127786
494,Deputatsky,69.3,139.9,47.73,60,95,15.86,RU,1628127786
495,Tabas,33.5959,56.9244,84.4,18,5,4.61,IR,1628127787
496,Khovd,48.0056,91.6419,74.75,26,53,5.75,MN,1628127787
497,Ust'-Koksa,50.2696,85.6108,60.39,77,0,1.1,RU,1628127787
498,Polunochnoye,60.8697,60.4153,64.36,96,89,2.95,RU,1628127788
499,Ogaminana,7.5946,6.2248,71.89,96,100,6.73,NG,1628127788
500,Berlevåg,70.8578,29.0864,47.08,91,100,19.82,NO,1628127563
501,Sørland,67.667,12.6934,53.11,90,100,18.7,NO,1628127610
502,Lumeje,-11.55,20.7833,58.5,31,0,5.59,AO,1628127788
503,Kjøllefjord,70.9457,27.3465,47.46,90,97,14.63,NO,1628127789
504,Dhidhdhoo,6.8833,73.1,81.57,79,100,12.5,MV,1628127789
505,Taoudenni,22.6783,-3.9836,100.96,9,2,11.86,ML,1628127789
506,Krasnyye Chetai,55.6887,46.1386,59.7,67,82,4.23,RU,1628127790
507,Saint Anthony,45.0205,-93.218,78.93,55,1,1.01,US,1628127790
508,Kondinskoye,59.6481,67.41,66.18,71,74,3.98,RU,1628127790
509,Ouésso,1.6136,16.0517,72.21,64,39,1.45,CG,1628127790
510,Lincoln,40.8,-96.667,80.13,61,93,7.0,US,1628127791
511,Ginda,30.6945,78.4932,67.82,91,84,1.66,IN,1628127791
512,Sémbé,1.6481,14.5806,74.43,68,91,2.59,CG,1628127791
513,Chu,43.5983,73.7614,82.31,25,3,2.86,KZ,1628127791
514,Bonavista,48.6499,-53.1147,64.11,73,100,4.18,CA,1628127631
515,Khani,41.9563,42.9566,65.77,88,0,4.65,GE,1628127792
516,Umm Hājar,13.2954,19.6966,80.92,67,100,6.89,TD,1628127757
517,Changji,44.0167,87.3167,83.19,30,0,13.42,CN,1628127792
518,Moses Lake,47.1301,-119.2781,98.96,13,1,6.91,US,1628127792
519,Gillette,44.2911,-105.5022,83.32,25,1,1.99,US,1628127793
520,Husavik,66.0449,-17.3389,51.71,87,88,4.41,IS,1628127545
521,Tessalit,20.1986,1.0114,92.23,31,11,9.17,ML,1628127578
522,Taltal,-25.4,-70.4833,58.93,67,0,3.94,CL,1628127563
523,Churapcha,62.0025,132.4325,80.82,16,0,10.04,RU,1628127793
524,Necochea,-38.5473,-58.7368,45.03,70,0,10.13,AR,1628127600
525,Mgandu,-5.95,34.1333,57.16,82,17,7.65,TZ,1628127794
526,Annaberg-Buchholz,50.5795,13.0063,56.68,94,100,1.99,DE,1628127794
527,Sebezh,56.2955,28.4654,54.43,98,100,5.35,RU,1628127794
528,Nagua,19.3832,-69.8474,81.45,88,50,7.31,DO,1628127794
529,Laguna,38.421,-121.4238,99.25,33,1,5.99,US,1628127572
530,Caranavi,-15.8167,-67.55,58.28,76,62,2.84,BO,1628127795
531,Verāval,20.9,70.3667,81.23,86,97,17.56,IN,1628127795
532,Kangaatsiaq,68.3065,-53.4641,43.09,94,62,11.61,GL,1628127795
533,Oddur,4.1213,43.8894,69.73,82,100,16.49,SO,1628127796
534,Hailey,43.5196,-114.3153,84.06,39,1,0.0,US,1628127796
535,Iisalmi,63.5592,27.1907,48.22,79,100,2.46,FI,1628127796
536,Keuruu,62.2667,24.7,46.94,78,85,2.8,FI,1628127797
537,Mareeba,-17.0,145.4333,76.44,35,91,6.08,AU,1628127287
538,Bad Sachsa,51.595,10.5555,58.48,91,77,1.03,DE,1628127797
539,Rusera,25.75,86.0333,83.71,77,100,2.64,IN,1628127797
540,Sālūmbar,24.1333,74.05,81.88,90,100,6.85,IN,1628127798
541,Antigonish,45.6169,-61.9986,66.38,89,84,3.71,CA,1628127798
542,Saint-Augustin,51.226,-58.6502,59.85,67,0,4.76,CA,1628127581
543,Hailar,49.2,119.7,59.83,86,98,10.42,CN,1628127798
